                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.78167,                0.56335,                  1.066,                0.82175,                0.79331,                0.84222,                0.55232,                 1.2513,                0.89912,                 1.4068,             0.00070404,             0.00070404,             0.00070404
                    114,                0.76957,                0.55331,                 1.0675,                0.87186,                0.75529,                0.84233,                0.55903,                 1.2416,                0.91933,                 1.3862,             0.00070037,             0.00070037,             0.00070037
                    115,                0.79523,                0.57221,                 1.0804,                0.79195,                0.75604,                0.80594,                0.55456,                 1.2218,                0.97666,                 1.3787,             0.00069671,             0.00069671,             0.00069671
                    116,                0.79583,                0.56163,                  1.092,                0.71596,                0.78792,                0.78338,                0.54481,                 1.2375,                 1.0046,                   1.39,             0.00069304,             0.00069304,             0.00069304
                    117,                0.75033,                0.56477,                 1.0806,                0.78134,                0.78921,                0.82625,                0.55477,                 1.2765,                0.93902,                 1.4012,             0.00068938,             0.00068938,             0.00068938
                    118,                0.78368,                0.55802,                 1.0703,                0.78866,                0.81689,                0.84695,                0.55866,                 1.2767,                0.89766,                 1.3969,             0.00068571,             0.00068571,             0.00068571
                    119,                 0.7512,                0.53617,                 1.0423,                0.82158,                 0.8062,                0.85226,                0.56069,                 1.2894,                 1.0003,                 1.3886,             0.00068204,             0.00068204,             0.00068204
                    120,                0.77098,                0.56532,                 1.0612,                0.79427,                 0.7663,                0.80876,                0.55171,                 1.2157,                0.95682,                 1.3784,             0.00067838,             0.00067838,             0.00067838
                    121,                0.74896,                0.55288,                 1.0604,                0.81308,                0.72366,                0.77723,                0.54151,                 1.2087,                0.99308,                 1.3842,             0.00067471,             0.00067471,             0.00067471
                    122,                0.74717,                0.53556,                 1.0579,                0.79495,                0.77175,                0.80295,                  0.559,                 1.2557,                0.91981,                  1.417,             0.00067104,             0.00067104,             0.00067104
                    123,                0.75087,                0.53165,                 1.0563,                0.77479,                0.82992,                0.84588,                0.57482,                 1.2312,                0.87728,                 1.3929,             0.00066738,             0.00066738,             0.00066738
                    124,                0.76003,                0.54243,                 1.0635,                 0.8294,                0.78202,                0.84046,                0.55661,                 1.2681,                0.89358,                 1.3936,             0.00066371,             0.00066371,             0.00066371
                    125,                0.75936,                0.55336,                 1.0702,                0.80077,                0.82498,                 0.8518,                0.56789,                  1.238,                0.92332,                 1.3748,             0.00066005,             0.00066005,             0.00066005
                    126,                0.72083,                0.51399,                 1.0415,                 0.7914,                0.81732,                0.85715,                0.57647,                 1.2258,                0.94566,                 1.3746,             0.00065638,             0.00065638,             0.00065638
                    127,                0.77075,                0.53269,                 1.0677,                0.77545,                0.82133,                0.85365,                0.58728,                 1.1879,                0.87518,                  1.352,             0.00065271,             0.00065271,             0.00065271
                    128,                0.73949,                0.52825,                 1.0433,                0.77497,                0.82023,                0.85339,                0.58469,                 1.1843,                0.87921,                 1.3459,             0.00064905,             0.00064905,             0.00064905
                    129,                0.73161,                0.49858,                 1.0408,                0.82461,                0.79641,                0.85777,                0.58265,                 1.1862,                0.87923,                 1.3388,             0.00064538,             0.00064538,             0.00064538
                    130,                0.72885,                0.52273,                 1.0578,                0.80378,                0.82819,                0.85182,                0.57415,                 1.2385,                0.88072,                 1.3822,             0.00064171,             0.00064171,             0.00064171
                    131,                0.72099,                0.52898,                 1.0336,                0.82188,                0.79653,                0.84662,                0.56144,                 1.2745,                0.86502,                  1.436,             0.00063805,             0.00063805,             0.00063805
                    132,                 0.7212,                0.51948,                 1.0411,                0.82407,                0.86664,                0.88498,                 0.5841,                 1.2738,                0.83209,                 1.4431,             0.00063438,             0.00063438,             0.00063438
                    133,                0.75095,                0.52623,                 1.0322,                0.84166,                0.88656,                0.88255,                 0.5847,                 1.2545,                0.82327,                 1.4165,             0.00063071,             0.00063071,             0.00063071
                    134,                0.73593,                0.52782,                  1.058,                0.82838,                0.86871,                0.87151,                0.57415,                 1.2686,                0.82692,                 1.4209,             0.00062705,             0.00062705,             0.00062705
                    135,                0.72058,                0.50425,                 1.0405,                0.80859,                0.82545,                0.84811,                0.56603,                 1.2572,                0.87109,                 1.4475,             0.00062338,             0.00062338,             0.00062338
                    136,                0.74001,                0.52273,                 1.0494,                0.77355,                0.85669,                0.84345,                0.56011,                 1.2606,                0.85617,                 1.4308,             0.00061972,             0.00061972,             0.00061972
                    137,                0.73042,                0.51494,                  1.043,                0.79941,                0.86283,                0.85597,                0.56862,                 1.2438,                0.84944,                 1.4179,             0.00061605,             0.00061605,             0.00061605
                    138,                0.70987,                0.51068,                  1.019,                0.80595,                0.82547,                0.83752,                0.55862,                 1.2671,                0.91089,                 1.4473,             0.00061238,             0.00061238,             0.00061238
                    139,                0.73294,                0.51488,                 1.0444,                0.82454,                0.79552,                0.83149,                 0.5429,                 1.3076,                 1.0053,                 1.4496,             0.00060872,             0.00060872,             0.00060872
                    140,                0.71426,                0.51827,                 1.0476,                0.84132,                0.82088,                0.84601,                0.55299,                 1.3279,                 1.0147,                 1.4434,             0.00060505,             0.00060505,             0.00060505
                    141,                0.73467,                0.50769,                 1.0395,                0.80092,                0.84286,                0.83977,                0.55774,                 1.2526,                0.83332,                 1.4205,             0.00060138,             0.00060138,             0.00060138
                    142,                0.72253,                0.51412,                 1.0431,                0.82477,                  0.856,                0.85633,                0.56344,                 1.2523,                0.80383,                 1.4204,             0.00059772,             0.00059772,             0.00059772
                    143,                0.72697,                  0.496,                 1.0328,                0.83007,                 0.8694,                0.86937,                0.58018,                 1.2262,                0.80435,                 1.3954,             0.00059405,             0.00059405,             0.00059405
                    144,                0.72178,                0.50679,                 1.0238,                0.87124,                 0.8712,                0.88523,                0.58978,                 1.2291,                 0.8147,                 1.4115,             0.00059039,             0.00059039,             0.00059039
                    145,                0.71956,                 0.5097,                 1.0419,                0.84615,                0.90028,                0.87788,                0.57854,                 1.2394,                0.80723,                 1.4141,             0.00058672,             0.00058672,             0.00058672
                    146,                0.72817,                 0.4985,                  1.029,                0.80068,                0.84555,                0.85245,                0.56481,                 1.2504,                 0.8291,                 1.4338,             0.00058305,             0.00058305,             0.00058305
